Id,titre,description,service,date
1,Incident A,Description A,Cardiology,1/15/2022
2,Incident B,Description B,Dermatology,1/16/2022
3,Incident C,Description C,Cardiology,2/18/2022
4,Incident D,Description D,Neurology,3/14/2021
5,Incident E,Description E,Cardiology,4/22/2021
6,Incident F,Description F,Neurology,5/11/2022
7,Incident G,Description G,Dermatology,6/23/2022
8,Incident H,Description H,Neurology,7/30/2023
9,Incident I,Description I,Radiology,8/12/2023
10,Incident J,Description J,Dermatology,9/21/2021
11,Incident K,Description K,Cardiology,10/19/2021
12,Incident L,Description L,Radiology,11/2/2021
13,Incident M,Description M,Dermatology,12/5/2021
14,Incident N,Description N,Cardiology,1/17/2023
15,Incident O,Description O,Neurology,2/22/2022
16,Incident P,Description P,Radiology,3/11/2022
17,Incident Q,Description Q,Neurology,4/13/2021
18,Incident R,Description R,Cardiology,5/17/2021
19,Incident S,Description S,Dermatology,6/9/2022
20,Incident T,Description T,Neurology,7/15/2022
