transaction_id,client_id,product_id,date,amount,category
1,101,501,1/15/2023,null,Electronics
2,102,502,2/5/2023,89.99,null
3,103,503,2/15/2023,120,Clothing
4,104,504,3/10/2023,75,Electronics
5,105,505,3/20/2023,230.99,Electronics
6,106,506,4/25/2023,40,Books
7,107,507,5/5/2023,null,Clothing
8,108,508,5/15/2023,10,null
9,109,509,6/10/2023,300,Furniture
10,110,510,6/20/2023,120,Electronics
11,111,511,7/15/2023,44,null
12,112,512,8/5/2023,null,Books
13,113,513,8/25/2023,80.5,Books
14,114,514,9/10/2023,90,Clothing
15,115,515,10/1/2023,110,Electronics
16,116,516,10/15/2023,200,Furniture
17,117,517,11/5/2023,150,Books
18,118,518,11/20/2023,85.5,Electronics
19,119,519,12/10/2023,null,Clothing
20,120,520,12/20/2023,250,Furniture
